Date,Price,Open,High,Low,Change %
21/11/2003,4319.00,4308.00,4324.00,4295.60,0.26
20/11/2003,4308.00,4327.40,4356.50,4270.50,-0.45
19/11/2003,4327.40,4354.70,4354.70,4316.10,-0.63
18/11/2003,4354.70,4338.90,4375.30,4338.90,0.36
17/11/2003,4338.90,4397.00,4397.00,4337.30,-1.32
14/11/2003,4397.00,4373.00,4412.90,4373.00,0.55
13/11/2003,4373.00,4371.20,4406.80,4361.20,0.04
12/11/2003,4371.20,4345.10,4372.70,4336.20,0.60
11/11/2003,4345.10,4341.80,4349.20,4313.50,0.08
10/11/2003,4341.80,4376.90,4376.90,4338.60,-0.80
07/11/2003,4376.90,4324.20,4389.20,4324.20,1.22
06/11/2003,4324.20,4303.40,4337.70,4283.40,0.48
05/11/2003,4303.40,4330.30,4330.30,4288.10,-0.62
04/11/2003,4330.30,4332.60,4352.60,4322.40,-0.05
03/11/2003,4332.60,4287.60,4338.10,4286.10,1.05
31/10/2003,4287.60,4300.90,4300.90,4274.00,-0.31
30/10/2003,4300.90,4265.70,4332.90,4260.30,0.83
29/10/2003,4265.70,4272.90,4293.10,4256.20,-0.17
28/10/2003,4272.90,4251.30,4280.10,4251.30,0.51
27/10/2003,4251.30,4239.00,4267.00,4238.10,0.29
24/10/2003,4239.00,4240.20,4248.70,4219.00,-0.03
23/10/2003,4240.20,4285.60,4285.60,4212.50,-1.06
22/10/2003,4285.60,4352.30,4359.40,4266.10,-1.53
21/10/2003,4352.30,4347.50,4377.60,4347.10,0.11
20/10/2003,4347.50,4344.00,4370.40,4329.40,0.08
17/10/2003,4344.00,4339.70,4360.10,4334.50,0.10
16/10/2003,4339.70,4368.80,4371.20,4326.40,-0.67
15/10/2003,4368.80,4334.10,4393.80,4334.10,0.80
14/10/2003,4334.10,4362.30,4375.00,4323.90,-0.65
13/10/2003,4362.30,4311.00,4362.30,4310.10,1.19
10/10/2003,4311.00,4313.90,4327.00,4291.40,-0.07
09/10/2003,4313.90,4268.60,4316.80,4259.20,1.06
08/10/2003,4268.60,4272.00,4315.60,4257.50,-0.08
07/10/2003,4272.00,4270.10,4275.60,4241.70,0.04
06/10/2003,4270.10,4274.00,4286.00,4260.20,-0.09
03/10/2003,4274.00,4209.10,4285.40,4206.80,1.54
02/10/2003,4209.10,4169.20,4209.10,4169.20,0.96
01/10/2003,4169.20,4091.30,4169.20,4091.30,1.90
30/09/2003,4091.30,4142.70,4164.00,4081.80,-1.24
29/09/2003,4142.70,4157.10,4190.70,4135.90,-0.35
26/09/2003,4157.10,4202.20,4202.20,4146.40,-1.07
25/09/2003,4202.20,4236.40,4236.40,4176.50,-0.81
24/09/2003,4236.40,4221.70,4265.30,4221.70,0.35
23/09/2003,4221.70,4228.20,4251.40,4200.80,-0.15
22/09/2003,4228.20,4257.00,4257.00,4198.20,-0.68
19/09/2003,4257.00,4314.70,4321.00,4244.80,-1.34
18/09/2003,4314.70,4293.00,4314.70,4284.40,0.51
17/09/2003,4293.00,4299.00,4329.60,4293.00,-0.14
16/09/2003,4299.00,4260.90,4301.90,4259.50,0.89
15/09/2003,4260.90,4237.80,4277.00,4237.80,0.55
12/09/2003,4237.80,4242.20,4276.20,4229.60,-0.10
11/09/2003,4242.20,4252.10,4266.20,4227.20,-0.23
10/09/2003,4252.10,4263.90,4263.90,4240.70,-0.28
09/09/2003,4263.90,4292.10,4293.70,4254.30,-0.66
08/09/2003,4292.10,4257.20,4298.00,4250.30,0.82
05/09/2003,4257.20,4248.80,4261.00,4227.10,0.20
04/09/2003,4248.80,4262.10,4270.20,4240.70,-0.31
03/09/2003,4262.10,4204.40,4279.10,4204.40,1.37
02/09/2003,4204.40,4204.40,4218.50,4193.30,0.00
01/09/2003,4204.40,4161.10,4222.10,4161.10,1.04
29/08/2003,4161.10,4198.00,4227.70,4161.10,-0.88
28/08/2003,4198.00,4206.40,4229.00,4182.50,-0.20
27/08/2003,4206.40,4177.40,4214.30,4177.40,0.69
26/08/2003,4177.40,4225.90,4227.80,4171.60,-1.15
22/08/2003,4225.90,4223.50,4265.30,4222.00,0.06
21/08/2003,4223.50,4217.40,4250.40,4217.10,0.14
20/08/2003,4217.40,4250.80,4254.40,4196.50,-0.79
19/08/2003,4250.80,4272.10,4286.90,4246.30,-0.50
18/08/2003,4272.10,4247.30,4272.60,4244.60,0.58
15/08/2003,4247.30,4237.80,4266.40,4233.50,0.22
14/08/2003,4237.80,4180.70,4242.80,4180.70,1.37
13/08/2003,4180.70,4185.60,4216.80,4175.10,-0.12
12/08/2003,4185.60,4176.70,4203.50,4170.90,0.21
11/08/2003,4176.70,4147.80,4181.70,4147.80,0.70
08/08/2003,4147.80,4095.60,4160.70,4095.60,1.27
07/08/2003,4095.60,4070.40,4095.60,4059.70,0.62
06/08/2003,4070.40,4121.00,4121.00,4044.90,-1.23
05/08/2003,4121.00,4100.10,4131.00,4091.10,0.51
04/08/2003,4100.10,4098.40,4147.40,4086.20,0.04
01/08/2003,4098.40,4157.00,4157.00,4096.70,-1.41
31/07/2003,4157.00,4141.20,4171.00,4114.10,0.38
30/07/2003,4141.20,4137.00,4159.30,4131.70,0.10
29/07/2003,4137.00,4148.80,4164.40,4125.00,-0.28
28/07/2003,4148.80,4131.20,4183.00,4131.20,0.43
25/07/2003,4131.20,4149.60,4149.60,4116.30,-0.44
24/07/2003,4149.60,4086.50,4155.20,4086.50,1.54
23/07/2003,4086.50,4079.70,4115.20,4077.90,0.17
22/07/2003,4079.70,4044.30,4079.70,4043.50,0.88
21/07/2003,4044.30,4073.20,4097.90,4043.80,-0.71
18/07/2003,4073.20,4056.60,4090.30,4056.60,0.41
17/07/2003,4056.60,4077.10,4082.60,4031.90,-0.50
16/07/2003,4077.10,4102.50,4132.00,4077.10,-0.62
15/07/2003,4102.50,4127.60,4135.60,4102.50,-0.61
14/07/2003,4127.60,4058.10,4135.90,4058.10,1.71
11/07/2003,4058.10,4028.80,4064.20,4013.70,0.73
10/07/2003,4028.80,4054.70,4068.20,4014.50,-0.64
09/07/2003,4054.70,4073.60,4086.60,4048.60,-0.46
08/07/2003,4073.60,4074.80,4088.20,4051.40,-0.03
07/07/2003,4074.80,4021.50,4076.80,4021.10,1.33
04/07/2003,4021.50,4024.80,4031.40,4001.30,-0.08
03/07/2003,4024.80,4006.90,4031.40,3980.30,0.45
02/07/2003,4006.90,3963.90,4025.80,3963.90,1.08
01/07/2003,3963.90,4031.20,4040.70,3951.50,-1.67
30/06/2003,4031.20,4067.80,4099.00,4021.60,-0.90
27/06/2003,4067.80,4041.70,4073.10,4040.80,0.65
26/06/2003,4041.70,4067.90,4077.20,4029.20,-0.64
25/06/2003,4067.90,4060.90,4089.90,4049.80,0.17
24/06/2003,4060.90,4087.90,4094.90,4052.40,-0.66
23/06/2003,4087.90,4160.10,4160.10,4081.30,-1.74
20/06/2003,4160.10,4131.50,4169.10,4119.00,0.69
19/06/2003,4131.50,4207.00,4210.80,4128.70,-1.79
18/06/2003,4207.00,4190.40,4218.80,4172.80,0.40
17/06/2003,4190.40,4152.90,4199.10,4152.90,0.90
16/06/2003,4152.90,4134.10,4174.30,4112.40,0.45
13/06/2003,4134.10,4161.30,4180.10,4124.90,-0.65
12/06/2003,4161.30,4150.10,4193.60,4150.00,0.27
11/06/2003,4150.10,4113.00,4162.10,4113.00,0.90
10/06/2003,4113.00,4129.10,4132.40,4108.60,-0.39
09/06/2003,4129.10,4150.80,4150.80,4101.10,-0.52
06/06/2003,4150.80,4104.30,4178.50,4104.30,1.13
